Rank,State/Territory,Filings (Overall),Percentage (Overall),Rank.1,State/Territory.1,Filings (Overall).1,Percentage (Overall).1,Suspicious Activity Type
1,California,2291535,0.12930068441703124,31.0,Oklahoma,132202.0,Less than 1%,
2,Ohio,1445487,0.08156212251435009,32.0,Mississippi,130258.0,Less than 1%,
3,New York,1423928,0.08034564820549303,33.0,Oregon,124186.0,Less than 1%,
4,North Carolina,1252861,0.07069313136365196,34.0,Puerto Rico,113601.0,Less than 1%,
5,Texas,1196373,0.06750577569971959,35.0,Kentucky,94442.0,Less than 1%,
6,Virginia,1118671,0.06312141247569196,36.0,Hawaii,89228.0,Less than 1%,
7,Florida,999137,0.05637666364527679,37.0,Arkansas,81510.0,Less than 1%,
8,Delaware,705269,0.0397950563260501,38.0,Kansas,69521.0,Less than 1%,
9,Illinois,506988,0.028606979771734597,39.0,West Virginia,65799.0,Less than 1%,
10,Pennsylvania,470484,0.026547228476659763,40.0,Iowa,65437.0,Less than 1%,
11,New Jersey,470174,0.026529736615453506,41.0,Rhode Island,63788.0,Less than 1%,
12,Georgia,466905,0.026345282117765594,42.0,New Mexico,60305.0,Less than 1%,
13,Utah,440214,0.02483923286790688,43.0,Nebraska,53044.0,Less than 1%,
14,South Dakota,381523,0.02152757213869263,44.0,Maine,48160.0,Less than 1%,
15,Michigan,266303,0.015026242305838084,45.0,District of Columbia,47058.0,Less than 1%,
16,Washington,248097,0.013998962224802241,46.0,New Hampshire,35536.0,Less than 1%,
17,Massachusetts,246376,0.01390185418242815,47.0,Idaho,31974.0,Less than 1%,
18,Arizona,233357,0.013167252437124095,48.0,Unknown/Blank,31484.0,Less than 1%,
19,Maryland,230893,0.013028220353213717,49.0,North Dakota,29341.0,Less than 1%,
20,Tennessee,221284,0.012486029081178487,50.0,Alaska,29325.0,Less than 1%,
21,Alabama,221257,0.01248450559649278,51.0,Montana,24425.0,Less than 1%,
22,Indiana,190380,0.010742259794990872,52.0,Vermont,14737.0,Less than 1%,
23,Nevada,188764,0.010651076415283418,53.0,Wyoming,10882.0,Less than 1%,
24,Colorado,179019,0.010101211294460925,54.0,Guam,9018.0,Less than 1%,
25,Louisiana,150670,Less than 1%,55.0,U.S. Virgin Islands,5460.0,Less than 1%,
26,Minnesota,150644,Less than 1%,56.0,Northern Mariana Islands,1794.0,Less than 1%,
27,Wisconsin,146165,Less than 1%,57.0,American Samoa,1013.0,Less than 1%,
28,South Carolina,140402,Less than 1%,58.0,Palau,483.0,Less than 1%,
29,Connecticut,137646,Less than 1%,59.0,Federated States of Micronesia,109.0,Less than 1%,
30,Missouri,137575,Less than 1%,60.0,Marshall Islands,27.0,Less than 1%,
