Suspicious Activity Category,Suspicious Activity Type,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Cyber Eventàà,Against financial institution(s)*,-,-,-,-,260,2829,4871,5399,7188,7161,5891
Fraud,ACH,24904,37338,48679,50680,65179,88858,143269,176911,183730,199939,204927
Gaming Activitiesà,Chip walking*,-,-,-,-,4,9,7,2,15,7,11
Identification Documentation,Changes spelling or arrangement of name,1304,1103,924,884,1002,893,682,728,752,782,774
Insurance,Excessive insurance,25,23,19,21,25,25,32,29,26,28,53
Money Laundering,Exchanges small bills for large bills or vice versa,5965,4755,4810,4792,4847,6186,7720,7692,5502,5047,4874
Mortgage Fraud,Application fraud*,-,-,-,-,361,4394,4877,4579,6419,7476,7518
Other Suspicious Activities,Account takeover,16668,23049,27132,27869,38315,42825,37917,43917,61104,77558,82807
Securities/Futures/Options,Insider trading,36,64,84,66,70,86,151,310,347,403,275
Structuring,Alters or cancels transaction to avoid BSA recordkeeping requirement,8199,5137,4236,4086,3931,3851,2989,3195,2724,2927,2684
Terrorist Financing,Known or suspected terrorist/terrorist organization,231,433,374,379,291,286,222,172,188,234,323
